feature,mean_abs_shap,mean_shap,rank
X62,1.3581403786862171e-05,-6.046574344560786e-07,332
X752,1.3383976234931922e-05,-2.2733249396930276e-07,333
X737,1.3364455565016298e-05,1.7266902593859604e-06,334
X189,1.3323210544533301e-05,6.008031483071652e-07,335
X160,1.3300069492668784e-05,-7.110506406395249e-07,336
X74,1.3108443140575225e-05,9.525830819395401e-07,337
X1012,1.3096074799112323e-05,7.289080709655526e-08,338
X264,1.290772939917963e-05,5.238735210084847e-07,339
X267,1.2896036706626323e-05,-2.3714431189210173e-07,340
X431,1.2661787838469682e-05,1.0837032660019199e-06,341
X61,1.2559309228324204e-05,7.550388933006409e-09,342
X120,1.2457155300247964e-05,2.831319357667289e-07,343
X762,1.2456542708939697e-05,2.6177230555247516e-06,344
X113,1.2307148727676373e-05,-4.0843447763872256e-07,345
X775,1.2297525965424662e-05,1.599172069160744e-06,346
X754,1.2251020997490622e-05,9.40948554895405e-07,347
X180,1.2196857026951137e-05,-3.783658704373703e-08,348
X959,1.2164028973753161e-05,-1.5385933180774932e-07,349
X35,1.2125509477597991e-05,2.1013257874265834e-07,350
X911,1.2094552795898183e-05,7.939781265189429e-06,351
X950,1.201453115530477e-05,7.798285735757764e-07,352
X187,1.1837546155478424e-05,-3.5403479284708e-07,353
X570,1.1769251272811598e-05,1.7616107958059551e-06,354
X720,1.1740431880750473e-05,6.743410412003709e-07,355
X819,1.1688652194057524e-05,-1.2971012539173374e-06,356
X173,1.1636028173256602e-05,-6.510118210363143e-07,357
X372,1.1290213629178068e-05,-8.382086843687756e-07,358
X130,1.1138211227005695e-05,2.2786376238482613e-08,359
X214,1.1108798193221499e-05,-1.1805251148325143e-07,360
X968,1.1026001085652233e-05,-1.0493187206111855e-06,361
X209,1.099855305192811e-05,1.9717684758187695e-07,362
X993,1.0954132470543946e-05,6.21816477904688e-07,363
X882,1.0925290607703137e-05,-2.3281785010250486e-07,364
X387,1.0924078373412556e-05,6.914241313897726e-07,365
X641,1.0911815411682558e-05,2.2919626876928597e-07,366
X795,1.0845200621972869e-05,1.508804365464658e-07,367
X161,1.0842956746242136e-05,1.1368609057143284e-07,368
X27,1.0760891085935436e-05,-4.6205665033314787e-07,369
X65,1.0753322641802857e-05,-4.2796636737095897e-07,370
X632,1.0751542589537884e-05,1.6881631059652132e-06,371
X806,1.0707855426542458e-05,1.0282399930683118e-06,372
X22,1.0690446998763752e-05,2.585578795300946e-07,373
X814,1.0622670223022894e-05,-1.240513738058402e-06,374
X563,1.0484209563384832e-05,1.2737842498459252e-06,375
X855,1.044200985423189e-05,4.932767941196045e-08,376
X889,1.040511051373336e-05,1.7162134651219358e-07,377
X793,1.0227233175448263e-05,2.143099420083322e-07,378
X925,9.902786082915604e-06,4.206271682269988e-06,379
X275,9.859208485640208e-06,1.261717436089538e-07,380
X40,9.81952166207818e-06,3.5488138853376386e-07,381
X336,9.771803841870141e-06,2.6192665346899245e-07,382
X63,9.764075520151493e-06,4.3219740620572374e-07,383
X975,9.645985881294975e-06,-3.117104762136412e-07,384
X418,9.636464637267577e-06,8.20927867781287e-06,385
X1079,9.321019471486629e-06,3.551864194891839e-07,386
X822,9.284751041532625e-06,1.3074023778798218e-06,387
X7,9.190073045984804e-06,-5.963624060833894e-07,388
X823,9.067507214074706e-06,1.6935136721487921e-06,389
X174,9.053977932295188e-06,4.602399055994117e-07,390
X980,8.952112640116234e-06,2.990358532231595e-07,391
X643,8.943709888465433e-06,4.782322772076405e-08,392
X207,8.928132384925005e-06,1.946382812176578e-07,393
X799,8.905197258226316e-06,1.8329682373746255e-06,394
X746,8.882744029886291e-06,-2.0932892052178376e-08,395
X388,8.786839569042577e-06,-4.457804394009203e-07,396
X1042,8.708669197996794e-06,1.4976134672286768e-06,397
X12,8.66022672609814e-06,-4.941644712383532e-08,398
X346,8.6017146124794e-06,1.0778439737952176e-07,399
X110,8.59938951505207e-06,3.1512996705265483e-07,400
X788,8.556155658862489e-06,-7.834569818543214e-09,401
X375,8.477299461204684e-06,6.18875678947219e-07,402
X197,8.443171663267059e-06,1.7741455339879272e-07,403
X269,8.373772666775177e-06,-1.256731668403796e-07,404
X1008,8.372752157365385e-06,-1.816361345017456e-07,405
X932,8.345649659982598e-06,-9.799616243106854e-07,406
X937,8.249448743773098e-06,-7.270252798068406e-07,407
X969,8.101548525440756e-06,1.7535182355686714e-06,408
X651,8.012895141886744e-06,-3.381645032052285e-07,409
X922,7.962844381249836e-06,5.103640079882402e-09,410
X783,7.844972352029099e-06,5.050292291801336e-07,411
X394,7.6712277430398e-06,1.0889019797391095e-06,412
X958,7.638864319985561e-06,3.7161884571686604e-07,413
