feature,importance
X499_median,3
X953_std,3
X836_mean,3
X837_mean,3
X830_range,3
X399_median,3
X155_min,3
X882_std,3
X868_mean,3
X896_std,3
X846_std,3
X501_median,3
X866_std,3
X819_range,3
X254_median,3
X260_median,3
X850_mean,3
X502_median,3
X506_median,3
X986_std,3
X955_std,3
X960_std,3
X962_std,3
X846_median,3
X847_median,3
X848_median,3
X850_median,3
X563_max,3
X1002_min,3
X298_median,3
X105_min,3
X815_std,3
X990_std,3
X670_range,3
X563_min,3
X501_min,3
X739_max,3
X744_max,3
X746_max,3
X975_std,3
X979_std,3
X907_min,3
X911_min,3
X569_median,3
X572_median,3
X1016_std,3
X755_max,3
X758_max,3
X759_max,3
X760_max,3
X875_min,3
X831_median,3
X840_median,3
X213_median,3
X888_range,3
X850_range,3
X247_median,3
X795_std,3
X758_std,3
X850_min,3
X854_min,3
X808_median,3
X446_mean,3
X805_std,3
X762_std,3
X768_std,3
X773_std,3
X779_std,3
X912_mean,3
X302_mean,3
X332_mean,3
X1032_min,3
X753_std,3
X505_min,3
X563_median,3
X689_std,3
X900_mean,3
X905_mean,3
X864_median,3
X1005_min,3
X287_mean,3
X74_min,3
X79_min,3
X342_mean,3
X367_mean,3
X435_mean,3
X443_mean,3
X803_mean,3
X806_mean,3
X809_mean,3
X890_min,3
X593_median,3
X578_min,3
X764_mean,3
X766_mean,3
X775_mean,3
X112_median,3
X877_median,3
X879_median,3
X881_median,3
X882_median,3
X916_mean,3
X10_max,3
X12_max,3
X1058_min,3
X728_std,3
X496_max,3
X73_median,3
X80_median,3
X37_max,3
X932_mean,3
X887_median,3
X894_median,3
X896_median,3
X632_min,3
X570_min,3
X586_range,3
X641_median,3
X814_median,3
X859_min,3
X860_min,3
X864_min,3
X588_median,3
X653_min,3
X842_min,3
X12_range,3
X21_range,3
X28_range,3
X498_mean,3
X391_mean,3
X394_mean,3
X65_min,3
X584_std,3
X586_std,3
X588_std,3
X589_std,3
X964_mean,3
X67_max,3
X71_max,3
X674_median,3
X823_max,3
X825_max,3
X644_min,3
X71_range,3
X150_range,3
X91_range,3
X35_range,3
X73_max,3
X47_max,3
X571_std,3
X497_std,3
X949_mean,3
X646_mean,3
X952_mean,3
X37_range,3
X123_range,3
X146_range,3
X739_median,3
X746_median,3
X783_mean,3
X465_std,3
X445_std,3
X399_mean,3
X405_mean,3
X411_mean,3
X458_std,3
X433_std,3
X434_std,3
X968_mean,3
X113_max,3
X827_min,3
X733_median,3
X813_min,3
X802_max,3
X758_min,3
X761_min,3
X121_max,3
X975_mean,3
X406_std,3
X1013_range,3
X999_median,3
X185_max,3
X188_max,3
X190_max,3
X1070_max,3
X763_min,3
X180_range,3
X290_max,3
X1045_max,3
X1063_max,3
X1064_max,3
X364_std,3
X456_max,3
X466_max,3
X209_max,3
X213_max,3
X254_max,3
X750_median,3
X429_range,3
X755_median,3
X757_median,3
X758_median,3
X761_median,3
X428_min,3
X879_max,3
X428_median,3
X432_median,3
X400_min,3
X896_max,3
X903_max,3
X318_min,3
X340_min,3
X354_min,3
X846_mean,3
X920_std,3
X925_std,3
X929_std,3
X346_std,3
X1041_mean,3
X6_min,2
X411_max,2
X407_max,2
X394_max,2
X474_mean,2
X465_max,2
X461_max,2
X455_max,2
X387_mean,2
X386_mean,2
X385_mean,2
X335_std,2
X1056_mean,2
X285_max,2
X275_max,2
X302_std,2
X992_mean,2
X989_mean,2
X985_mean,2
X983_mean,2
X387_std,2
X386_std,2
X383_std,2
X931_range,2
X340_mean,2
X83_median,2
X81_min,2
X75_min,2
